idx_num,filename,score,distance_error,final_coordinates_x,final_coordinates_y,final_coordinates_z,target_x,target_y,target_z,spacing_x,spacing_y,spacing_z
1,burdeos_112,-16.085267608730458,40.41043519255857,127,125,252,124,147,176,1.0,1.0,0.44426229596138
2,burdeos_114,10.931511199173677,34.69463961036211,120,171,174,161,164,231,0.64453125,0.64453125,0.38852459192276
3,burdeos_116,25.994565575205375,34.50466953687041,124,97,235,145,126,203,0.83984375,0.83984375,0.5
4,burdeos_140,-42.07716403179545,82.39973477609308,94,110,297,127,179,163,0.6875,0.6875,0.4734354019165039
5,burdeos_144,21.890705581340317,36.89775011770856,110,169,214,115,133,204,1.0,1.0,0.5426229238510132
6,burdeos_168,11.017697566180857,52.92521632686337,120,81,194,150,154,212,0.66015625,0.66015625,0.4298185706138611
7,burdeos_186,-41.11025424952276,57.71742072593102,135,64,213,139,159,210,0.61328125,0.61328125,0.46433785557746887
8,burdeos_199,-20.009963622160168,73.38827274430793,80,119,271,134,173,192,0.81640625,0.81640625,0.4780133366584778
9,burdeos_208,3.109797112916759,60.46973187064823,82,150,299,134,147,222,0.7578125,0.7578125,0.5949366688728333
10,burdeos_38,40.884217361455384,41.35662976138826,120,110,297,129,128,224,0.87109375,0.87109375,0.5131147503852844
11,burdeos_85,54.80751828032283,16.630957269014736,115,154,234,113,156,204,0.703125,0.703125,0.48852458596229553
12,burdeos_90,-17.88300591774746,62.26162829735523,66,149,291,128,124,219,0.84375,0.84375,0.38852459192276
13,burdeos_111,16.13228742973366,55.389223694918314,80,142,272,139,138,214,0.76171875,0.76171875,0.5557377338409424
